"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.0329666137695","91.7102279663086","96.0943298339844","96.0812835693359","90.8764419555664","91.1535720825195","93.6797790527344","","96.5776901245117","","98.4798431396484","","","","108.315406799316","107.377647399902","","","","","","","","","",
"Africa Eastern and Southern","AFE","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","","","","","","26.3526496887207","26.4972190856934","26.5993099212646","26.5614490509033","26.7877502441406","26.8869209289551","27.0728492736816","27.334020614624","27.6798095703125","27.967960357666","28.078239440918","27.7958202362061","27.6067790985107","27.3838500976562","26.9563598632812","26.8378791809082","26.4040908813477","27.1032009124756","27.4705696105957","29.0713005065918","29.6584701538086","29.764799118042","30.1629600524902","30.2907104492188","30.5016498565674","31.7028293609619","33.4044609069824","32.4078903198242","32.5134201049805","33.5669708251953","34.9119987487793","36.3853912353516","38.1651916503906","39.3156204223633","40.5949783325195","41.6762084960938","42.1613082885742","42.7286796569824","44.0033798217773","44.3269081115723","44.2411193847656","44.2421493530273","44.185791015625","44.5401306152344","45.3214797973633","","","",
"Afghanistan","AFG","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","","","10.3585996627808","9.06480979919434","","","7.43295001983643","9.86262035369873","","14.1513795852661","17.7764301300049","13.5106897354126","","15.4939203262329","14.750659942627","","","","","","","","21.6861095428467","","","","","","","","","","","","17.385929107666","","","","","","","","","","","52.5213203430176","54.6932792663574","56.736930847168","59.7217903137207","","","","",
"Africa Western and Central","AFW","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","17.300760269165","17.3292503356934","17.684700012207","17.9520492553711","18.1808490753174","18.3477401733398","18.5096893310547","18.8011703491211","18.9746608734131","19.1655292510986","19.3468399047852","19.5444297790527","19.6841697692871","19.698450088501","19.7159004211426","19.7639503479004","19.9992809295654","19.8093490600586","19.8457107543945","20.0468902587891","20.8497791290283","21.5781593322754","21.8659191131592","21.9209403991699","21.9069309234619","21.9293403625488","21.8630790710449","22.1854000091553","22.3377990722656","22.3095397949219","22.6146106719971","23.6225109100342","26.5741901397705","29.3251495361328","30.490650177002","31.6518898010254","32.7968482971191","34.2055892944336","36.0983200073242","37.4985389709473","38.6591300964355","39.3816719055176","39.9094505310059","40.189208984375","39.9986000061035","41.25","41.8849105834961","42.3173408508301","42.9233283996582","42.7866096496582","42.9573402404785","43.0194511413574","42.5415191650391","",
"Angola","AGO","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","2.60537004470825","","","","","","","","","","","","","","","","","","","","","","","","","","18.2633094787598","18.5910606384277","","21.8540992736816","","","","","","","","","","","","",
"Albania","ALB","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.2990493774414","","","","80.1572189331055","88.7636413574219","","89.6979827880859","","","","97.4339065551758","95.366569519043","93.3012771606445","99.6791763305664","101.393562316895","102.971801757812","102.662216186523","98.9644165039062","103.068817138672","","90.7964324951172","100.803489685059","94.7068023681641","93.6480407714844","97.6193313598633","94.1404800415039","",
"Andorra","AND","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.5901565551758","70.1179580688477","77.6298294067383","76.1904830932617","76.753776550293","81.2411804199219","82.0025329589844","84.6743316650391","86.5566024780273","86.8852462768555","92.1492919921875","87.8172607421875","89.8477172851562","92.1348266601562","90.2709426879883","","",
"Arab World","ARB","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","","31.1195106506348","31.3743095397949","31.2448501586914","32.1486587524414","32.8444786071777","33.9213714599609","36.4190711975098","37.1256217956543","37.9147491455078","38.5187492370605","39.0337295532227","39.9507789611816","41.3422012329102","42.3395881652832","43.7272491455078","44.4001312255859","45.8230895996094","47.1169509887695","47.2882499694824","48.2448692321777","49.0468597412109","49.5839004516602","50.6189308166504","51.5609397888184","52.1505813598633","52.2653694152832","53.1614685058594","54.0721702575684","55.1862106323242","57.3285789489746","59.8085708618164","59.9854507446289","60.7910690307617","62.1113510131836","60.8440017700195","60.2813301086426","59.9411582946777","61.2704887390137","61.4594192504883","63.0195999145508","66.8343887329102","63.812858581543","63.0971908569336","63.4208717346191","63.758430480957","63.3307609558105","63.912410736084","64.801887512207","65.2667694091797","67.9169311523438","67.082649230957","",
"United Arab Emirates","ARE","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","","","","12.8847599029541","14.8119401931763","23.4624805450439","27.4552402496338","30.1189098358154","","35.3493385314941","","56.9347991943359","60.6834983825684","62.8369903564453","66.9666519165039","64.1525268554688","53.9461288452148","51.2426414489746","54.4566993713379","56.5308303833008","59.2645797729492","63.2385101318359","66.6495590209961","76.3062591552734","79.9252014160156","","67.6243667602539","","","67.0133972167969","74.0905075073242","81.7808227539062","87.4765701293945","94.0442886352539","92.462532043457","80.2479019165039","65.3151626586914","","53.0277900695801","53.9631118774414","56.9848403930664","56.0762901306152","58.7968711853027","62.9118995666504","","","","","129.953689575195","111.690719604492","","","",
"Argentina","ARG","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","16.8123397827148","16.0357494354248","","","17.4424991607666","18.1715793609619","","","","","","","","","","","","","","","","","","","","","","","","80.9476165771484","86.4880981445312","87.1577529907227","86.8861312866211","82.5139694213867","80.8255310058594","81.1039428710938","77.70556640625","75.7737121582031","76.6345520019531","76.8056411743164","80.5694885253906","84.5560302734375","85.9532623291016","88.3373870849609","88.4962768554688","90.4595565795898","90.740119934082","91.8130111694336","93.5833206176758","95.9255294799805","95.4992980957031","108.788223266602","","",
